,Logon_num,Visit_num,Download_num,Connect_num,Delete_num,Disconnect_num,Send_num,Copy_num,Write_num,Upload_num,Open_num,View_num,Logoff_num
2011-02-02,2,141,29,5,0,5,7,1,1,4,4,9,1
2011-02-03,2,141,34,5,0,5,4,1,3,7,3,12,2
2011-02-04,2,150,27,5,0,5,4,0,2,3,2,12,1
2011-02-07,1,143,25,5,1,5,10,4,7,2,0,10,1
2011-02-08,2,170,0,5,1,5,7,0,1,0,5,9,1
2011-02-09,2,182,0,5,2,5,5,1,0,0,1,11,1
2011-02-10,2,152,27,5,0,5,5,0,2,3,0,6,1
2011-02-11,2,176,0,5,1,5,4,1,1,0,2,12,1
2011-02-14,2,151,24,5,0,5,9,1,3,5,4,7,1
2011-02-15,2,137,27,5,1,5,6,1,4,5,4,12,1
2011-02-16,2,180,0,5,1,5,5,0,2,2,0,11,1
2011-02-17,3,177,0,5,0,5,5,0,0,0,1,11,2
2011-02-18,2,182,0,5,1,5,15,1,1,2,3,7,1
2011-02-21,2,172,0,5,0,5,6,0,0,0,1,12,1
2011-02-22,2,180,0,5,0,5,13,0,0,0,2,7,1
2011-02-23,2,130,32,5,0,4,5,0,2,4,2,11,1
2011-02-24,2,164,0,5,1,5,11,1,1,0,1,9,1
2011-02-25,2,180,0,5,0,5,5,0,0,0,2,11,2
2011-02-28,2,169,0,5,0,5,3,0,0,2,2,13,1
2011-03-01,2,143,24,5,0,5,7,0,3,5,4,9,1
2011-03-02,2,182,0,5,0,5,6,0,0,0,6,10,1
2011-03-03,2,172,0,5,1,5,4,0,0,2,5,12,1
2011-03-04,2,168,0,5,0,5,7,0,0,0,6,9,1
2011-03-07,2,137,21,12,0,12,7,3,6,4,2,9,2
2011-03-08,2,162,0,5,0,5,4,0,0,0,1,12,1
2011-03-09,2,160,0,5,0,5,5,0,0,0,3,11,1
2011-03-10,2,162,0,14,0,14,4,0,0,0,1,12,1
2011-03-11,2,161,0,5,0,5,4,0,0,0,0,12,1
2011-03-14,2,162,0,5,0,5,7,0,0,0,4,9,1
2011-03-15,2,138,21,5,0,5,7,0,4,3,4,9,1
2011-03-16,2,162,0,12,0,12,7,0,0,0,3,11,1
2011-03-17,1,132,28,5,0,5,5,0,2,1,0,11,1
2011-03-18,2,162,0,5,0,5,6,0,0,0,4,10,1
2011-03-21,2,162,0,5,0,5,9,0,0,0,11,6,1
2011-03-22,2,161,0,12,0,12,5,0,0,0,6,11,1
2011-03-23,2,132,28,10,0,10,7,3,2,2,5,9,1
2011-03-24,2,162,0,5,0,5,3,0,0,0,0,13,1
2011-03-25,2,161,0,5,0,5,4,0,0,0,1,12,1
2011-03-28,2,161,0,5,0,5,9,0,0,0,4,7,1
2011-03-29,2,138,20,5,0,5,4,3,1,4,3,12,1
2011-03-30,2,140,20,10,0,10,6,0,4,2,3,10,2
2011-03-31,2,162,0,5,0,5,2,0,0,0,0,14,1
2011-04-01,2,162,0,5,0,5,9,0,0,0,8,7,1
