,Logon_num,Visit_num,Download_num,Connect_num,Delete_num,Disconnect_num,Send_num,Copy_num,Write_num,Upload_num,Open_num,View_num,Logoff_num
2010-01-04,2,135,25,5,1,5,8,2,5,2,2,8,1
2010-01-05,2,160,0,5,1,5,2,2,0,0,2,12,1
2010-01-06,2,142,19,5,0,5,6,2,4,1,1,10,1
2010-01-07,2,162,0,5,1,5,6,0,0,0,7,5,1
2010-01-08,2,162,0,5,0,5,6,0,0,0,5,10,1
2010-01-11,2,128,30,5,0,5,4,0,2,4,1,12,2
2010-01-12,2,162,0,6,1,6,9,1,0,0,6,7,1
2010-01-13,2,162,0,5,0,5,6,1,0,0,6,10,1
2010-01-14,1,135,24,5,0,5,3,0,2,3,4,13,1
2010-01-15,2,162,0,5,0,5,4,0,0,0,2,12,1
2010-01-18,2,162,0,5,1,5,4,1,1,0,0,12,1
2010-01-19,2,129,28,5,0,5,5,1,7,4,2,11,1
2010-01-20,2,162,0,5,0,5,7,0,0,0,0,9,1
2010-01-21,2,162,0,5,0,5,10,1,1,0,9,6,1
2010-01-22,1,138,18,5,0,5,6,0,1,6,2,10,1
2010-01-25,2,161,0,5,0,5,7,0,0,0,6,9,1
2010-01-26,2,162,0,5,0,5,3,0,0,0,3,13,1
2010-01-27,2,128,29,5,0,5,6,1,0,4,4,10,1
2010-01-28,2,161,0,5,1,5,3,0,1,0,2,13,2
2010-01-29,2,162,0,5,0,5,4,0,0,0,1,12,1
2010-02-01,3,162,0,5,0,4,2,0,0,0,0,3,2
2010-02-02,2,157,0,5,2,5,5,1,0,0,3,11,1
2010-02-03,2,162,0,5,0,5,4,0,0,0,1,12,1
2010-02-04,2,160,0,5,0,5,7,2,1,0,3,9,1
2010-02-05,3,161,0,5,0,5,2,0,0,0,0,14,2
2010-02-08,1,131,26,6,0,5,9,0,2,4,7,7,1
2010-02-09,2,162,0,5,0,5,9,1,0,0,12,7,1
2010-02-10,2,159,0,5,0,5,1,1,0,0,2,9,1
2010-02-11,3,128,30,5,0,4,6,0,7,2,4,10,2
2010-02-12,2,162,0,5,1,5,4,0,0,0,1,7,1
2010-02-15,2,133,24,5,0,5,5,2,6,5,8,11,2
2010-02-16,2,162,0,5,0,5,5,0,0,0,1,11,1
2010-02-17,2,130,27,5,0,5,7,1,12,3,9,9,1
2010-02-18,2,160,0,6,2,6,3,0,0,0,2,13,1
2010-02-19,1,128,28,5,2,5,4,2,2,6,3,3,1
2010-02-22,2,142,20,5,0,5,8,0,1,0,8,8,1
2010-02-23,1,131,30,5,0,5,9,0,1,1,2,7,1
2010-02-24,2,162,0,5,0,5,5,2,1,0,2,11,1
2010-02-25,2,162,0,5,2,5,7,1,0,0,1,9,1
2010-02-26,2,162,0,5,3,5,6,1,1,0,3,10,1
2010-03-01,2,126,28,5,1,5,4,1,2,8,5,12,1
2010-03-02,2,161,0,5,0,5,10,0,0,0,8,4,1
2010-03-03,2,162,0,5,0,5,8,0,0,0,0,8,1
2010-03-04,2,162,0,5,0,5,4,0,0,0,3,12,1
2010-03-05,2,161,0,5,0,5,5,1,0,0,5,11,1
2010-03-08,2,162,0,5,0,5,7,0,1,0,8,9,1
2010-03-09,2,131,27,5,1,5,9,1,2,4,13,7,1
2010-03-10,1,140,17,5,1,5,3,1,6,5,4,13,1
2010-03-11,2,155,0,5,0,5,4,1,0,0,4,12,1
2010-03-12,2,129,26,5,1,5,4,0,4,6,1,12,1
2010-03-15,2,134,25,5,0,5,6,1,6,3,3,10,1
2010-03-16,2,162,0,5,0,5,6,0,0,0,3,10,1
2010-03-17,2,162,0,5,0,5,4,1,0,0,2,12,1
2010-03-18,2,133,27,5,1,5,4,0,8,2,4,12,1
2010-03-19,2,138,23,5,0,5,3,0,0,1,2,13,1
2010-03-22,2,138,22,5,1,5,5,0,5,1,4,11,1
2010-03-23,1,162,0,5,2,5,4,0,0,0,7,12,1
2010-03-24,2,134,26,5,0,5,7,2,6,2,7,9,2
2010-03-25,2,162,0,5,0,5,3,2,0,0,1,13,1
2010-03-26,2,162,0,5,1,5,7,2,1,0,5,9,1
2010-03-29,2,161,0,5,1,5,7,0,0,0,6,9,1
2010-03-30,3,156,0,5,0,5,6,1,0,0,5,10,2
2010-03-31,2,162,0,5,1,5,6,1,2,0,0,10,1
2010-04-01,2,162,0,5,0,5,6,0,0,0,8,10,1
2010-04-05,2,140,19,5,0,5,4,0,3,2,1,12,1
2010-04-06,2,132,29,5,0,5,3,1,2,1,1,13,2
2010-04-07,2,130,26,5,1,5,3,3,6,6,5,13,1
2010-04-08,2,162,0,5,0,5,5,2,0,0,1,11,1
2010-04-09,2,162,0,5,1,5,4,2,0,0,4,12,1
2010-04-12,1,138,23,5,0,5,4,4,0,1,1,12,1
2010-04-13,2,162,0,5,0,5,8,1,1,0,3,8,1
2010-04-14,2,139,20,5,0,5,4,1,3,3,6,12,1
2010-04-15,2,162,0,5,0,5,7,1,0,0,2,9,1
2010-04-16,2,134,23,5,0,4,8,2,5,2,4,8,1
2010-04-19,2,131,30,5,1,4,5,1,10,1,2,11,1
